nXsyT	r1b2rk1/pppnqpb1/2n1P2p/6p1/2B2p2/1QP2N2/PP1N2PP/R1B1R1K1 b - - 0 13	d7b6 e6f7 g8h8 e1e7	823	easy	advancedPawn advantage discoveredAttack kingsideAttack opening short
eKMoy	3r2k1/ppp4p/8/2P5/3r1pN1/2Kb3P/P4P2/R2R4 b - - 1 33	d4d5 g4f6 g8g7 f6d5	825	easy	advantage endgame fork short
DKfqH	5rk1/pbp2pp1/1p3b1p/5B2/6N1/8/1qP1Q1PP/3R3K b - - 0 22	f8d8 d1d8 f6d8 e2e8	826	easy	mate mateIn2 middlegame short
FHIum	r3r1k1/ppp1nppp/3b4/3P3q/2B5/4Bb2/PP3PPP/R2Q1RK1 w - - 0 16	d1f3 h5h2	826	easy	kingsideAttack mate mateIn1 middlegame oneMove
s157A	2r3k1/5pp1/p6p/5P2/1p1Q2P1/q7/P6P/K1rR3R w - - 0 30	d1c1 c8c1 h1c1 a3c1	826	easy	endgame mate mateIn2 short
D9gwt	8/4b2k/p6p/1rp1pP2/Np6/1P3P1P/2P4K/4R3 w - - 0 30	e1e5 e7d6 f3f4 d6e5	827	easy	advantage endgame pin short
YGR3u	6k1/rp3p1p/6pb/pQ2R3/8/8/KRq3PP/8 b - - 1 29	c2c8 e5e8 c8e8 b5e8	827	easy	crushing endgame fork short
cIrW8	r4k2/8/p3p2p/3p1pp1/1p1n4/N7/PPPN1PPP/2KR4 w - - 0 24	a3b1 d4e2	828	easy	endgame mate mateIn1 oneMove smotheredMate
kks55	6k1/5pp1/2p4p/2Q5/2nP4/4P1P1/5PKP/2r5 w - - 4 37	c5c6 c4e3 g2f3 c1c6	828	easy	crushing discoveredAttack endgame short
1Jaaz	6k1/p4p1p/3p2pP/2p1P3/2PbQP2/8/1p2B1PK/r7 b - - 2 35	b2b1q e4a8 b1b8 a8b8	829	easy	endgame mate mateIn2 short
315JF	8/5p2/3kp1p1/bP2N1P1/2K2P1p/7r/8/2R5 b - - 1 41	d6e7 e5c6 e7f8 c6a5	831	easy	crushing endgame fork master short
NEOSU	4rr1k/6np/p2Q2p1/1p3p2/8/1P6/P3R2P/5K2 b - - 2 35	e8e2 d6f8	831	easy	endgame hangingPiece mate mateIn1 oneMove
ptK2r	3R4/1q6/3R4/6pk/7p/p3K2P/8/8 b - - 3 49	a3a2 d8h8 b7h7 h8h7	832	easy	endgame master mate mateIn2 queenRookEndgame short
33qrS	1k6/p3q3/8/1R2p2p/5pp1/1P3P1P/2R2P1K/8 b - - 1 32	b8a8 c2c8	833	easy	endgame master mate mateIn1 oneMove queenRookEndgame
KzGz4	7k/1rR3b1/3P4/3QpbNn/7P/P7/K3r3/1R6 w - - 1 35	a2a1 b7b1	833	easy	mate mateIn1 middlegame oneMove operaMate
CcJEq	Rbr5/3kn1p1/2p2p1p/NpPp4/1P1P4/2B2PP1/7P/6K1 w - - 1 36	g1f2 b8g3 h2g3 c8a8	835	easy	crushing discoveredAttack endgame master short
K8rib	6k1/pp4pp/1np5/3p4/r2Pr1B1/7P/6PK/5R2 b - - 5 32	e4d4 g4e6 g8h8 f1f8	835	easy	backRankMate endgame mate mateIn2 short
YiBr7	r1b2r1k/pp3pp1/8/2p1PBnq/2PpR3/5N2/PPQ2PPP/R5K1 w - - 7 20	e4h4 g5f3 g2f3 h5h4	835	easy	crushing kingsideAttack middlegame short
nnfBr	r1b1k1nr/2p2ppp/p1p5/2b1N3/4P2q/2P5/PP1P2PP/RNBQK2R w KQkq - 1 9	e1f1 h4f2	835	easy	mate mateIn1 oneMove opening
ut7mv	r1b2rk1/2q3p1/2p1p1Q1/p2p4/3P4/2P3b1/PP4P1/R2K3R b - - 0 21	c7f7 g6h7	835	easy	mate mateIn1 middlegame oneMove
iY7hK	r5k1/pp3rp1/2p3Np/3b1P2/3P4/1P6/P4PP1/R3R2K b - - 0 23	f7f5 g6e7 g8f7 e7f5	836	easy	crushing endgame fork short
FdaLO	5rk1/p5pp/1p2p1n1/4PpR1/1RpP1P2/2Pb2Pq/P2QN2P/6K1 w - - 1 25	e2c1 h3f1	837	easy	mate mateIn1 middlegame oneMove
twcpY	2r3k1/1p1bQ1q1/p3p1p1/5pP1/7R/7R/P1P4P/6K1 b - - 6 34	g7e7 h4h8 g8f7 h3h7	837	easy	endgame mate mateIn2 short
9mu6L	r3k2r/1bq1bppp/p2pp3/1p4P1/1n2nP2/P1N1QN1P/2PB2B1/2KR3R w kq - 0 16	c3e4 c7c2	838	easy	mate mateIn1 middlegame oneMove queensideAttack
MjBw0	4r1k1/p5pp/1p6/2p1K3/2P3P1/8/PP4P1/3R4 w - - 1 29	e5d6 e8d8 d6c6 d8d1	838	easy	crushing endgame rookEndgame short skewer
TsUwd	8/3k1pQ1/p5p1/1p6/1PKp1qP1/3P3P/2P5/8 w - - 0 34	c4c5 f4d6	838	easy	endgame mate mateIn1 oneMove queenEndgame
uKBMy	r3kb1r/ppp2Bpp/2n5/5b2/3pq3/1P2BN2/P1P2PPP/R2QK2R b KQkq - 0 10	e8f7 f3g5 f7g8 g5e4	838	easy	advantage fork middlegame short
YgfoW	r2qkbnr/1pp1p1pp/p1n2p2/4N2b/2BPP3/P1N5/1P3PPP/R1BQ1RK1 b kq - 2 9	h5d1 c4f7	839	easy	mate mateIn1 oneMove opening
lBCQR	3R2k1/2q3p1/5PQp/8/1p4P1/7P/3p4/6K1 b - - 1 52	c7d8 g6g7	839	easy	endgame mate mateIn1 oneMove queenEndgame
65RdP	8/KP6/8/P6p/5k2/7P/8/1q6 b - - 2 59	b1b5 b7b8q b5b8 a7b8	840	easy	advancedPawn crushing endgame promotion queenEndgame short
Fm7yJ	6k1/4b1p1/6P1/3pp2Q/4p3/8/3P1PK1/1q6 b - - 2 38	b1b3 h5h7 g8f8 h7h8	840	easy	endgame mate mateIn2 short
VOwck	4rb2/3n2pp/2k2p2/N1pNn3/1p2P3/6R1/1PPB2PP/1K6 b - - 5 28	c6b5 d5c7 b5a5 c7e8	840	easy	advantage fork middlegame short
6EjAP	rnb1k2r/pp1p2pp/1qp2n2/2b1ppB1/4P3/2NP1N1P/PPP2PP1/R2QKB1R w KQkq - 2 7	g5f6 c5f2 e1d2 b6e3	841	easy	attackingF2F7 mate mateIn2 opening short
YrulF	rnb1k1nr/p4p1p/1p2p1p1/3pP3/q2p3P/P1P5/2PB1PP1/RQ2KBNR b KQkq - 1 11	d4c3 f1b5 a4b5 b1b5	841	easy	advantage fork middlegame short
2PwYv	6k1/p4ppp/2pQ1b2/8/2BP4/6rq/PP5N/2R3K1 w - - 1 27	g1h1 h3g2	842	easy	master mate mateIn1 middlegame oneMove
XBHvg	8/6p1/5p2/7p/1Q2rk2/1K5P/8/8 w - - 5 53	b4c3 e4e3 c3e3 f4e3	842	easy	crushing endgame master pin queenRookEndgame short
YDGpT	r2q1rk1/pp1n2bp/2bpppP1/2p3B1/4P2Q/2NP1N2/PPP3PP/R4RK1 b - - 0 13	f6g5 h4h7	842	easy	kingsideAttack master mate mateIn1 middlegame oneMove
6VcUH	r1b2rk1/pp1qbpp1/3p3p/2pP4/4PP2/2N1Q1PP/PPP5/2KR1B1R w - - 1 18	f4f5 e7g5 e3g5 h6g5	843	easy	crushing middlegame pin short
MOQKv	r7/3k2pp/2pbbp2/4p3/2N1P3/pPPK4/R4PPP/2B5 b - - 5 32	d6e7 c4b6 d7d8 b6a8	843	easy	crushing endgame fork master short
tPjFK	r2qkbr1/pppbnp1p/3p4/3Pp3/4N1P1/3B3P/PPP2P1N/R2QK2R b KQq - 0 12	h7h6 e4f6	843	easy	mate mateIn1 oneMove opening smotheredMate
Ka8GY	4r1k1/pp3q1p/6p1/2P3Q1/8/2r5/P5PP/5R1K w - - 0 29	f1f7 e8e1 f7f1 e1f1	844	easy	backRankMate endgame mate mateIn2 queenRookEndgame short
TwRNr	5rRk/r3bp1p/1q1p4/2p5/2B1Pp2/1P1P1P1P/1BP2P2/1K1R4 b - - 2 24	h8g8 d1g1 e7g5 g1g5	844	easy	kingsideAttack mate mateIn2 middlegame pillsburysMate short
uimvg	6k1/1rp2pp1/1pQ1p2p/3rN1q1/P2P1n2/2P5/5PPP/3RR1K1 w - - 2 24	c6b7 g5g2	844	easy	kingsideAttack master mate mateIn1 middlegame oneMove
6ZWkl	2k5/ppp5/4N3/3qpnB1/8/5P1K/P6P/6RR w - - 4 30	g1d1 d5f3	845	easy	endgame master masterVsMaster mate mateIn1 oneMove
COQ9I	rnb1k2r/ppp2ppp/8/2bNNn2/5P1q/3B4/PPP3PP/R1BQ1RK1 w kq - 7 10	g1h1 f5g3	845	easy	mate mateIn1 oneMove opening pin
bykNI	4k2r/pp1n1pp1/2n1p1B1/3p2Pp/1b1P1B1P/2Q2P1N/qPP5/2KR3R w k - 1 18	c3b3 a2a1	845	easy	mate mateIn1 middlegame oneMove
4AvOi	8/p4r2/8/1P6/P6k/5Kp1/8/6R1 w - - 2 52	f3g2 f7f2 g2h1 f2h2	846	easy	endgame mate mateIn2 rookEndgame short
E6oOA	3r1k1r/pp2n1pp/1b1N1R2/n2Bp3/4P3/2PP3P/PP5P/R1BK4 b - - 0 18	g7f6 c1h6	846	easy	mate mateIn1 middlegame oneMove
FjlSC	3r2k1/pp4p1/5pqp/2Rb4/3P1P2/1Q5P/1P2r1P1/3R2K1 w - - 0 27	c5d5 g6g2	846	easy	endgame mate mateIn1 oneMove
Nv4Mo	r1bqkb1r/ppppnppp/8/1N1nP3/2B5/8/PPP2PPP/RNBQK2R b KQkq - 2 7	c7c6 b5d6	846	easy	mate mateIn1 oneMove opening smotheredMate
OzFJn	4r1k1/5pp1/p1nq3p/1pp5/5N2/P2P4/1PPQ1PPP/R5K1 w - - 0 23	a1e1 e8e1 d2e1 d6f4	846	easy	advantage endgame kingsideAttack short
hLr8U	r1b2rk1/1p1n1p1p/p2qp1PQ/8/8/1R6/P1P2PP1/1K3BNR b - - 0 18	f7g6 h6h7	846	easy	kingsideAttack mate mateIn1 middlegame oneMove
izu0D	4bk2/5q2/4pQ1p/3pB1p1/3P4/7P/6PK/8 b - - 29 63	f8g8 f6h8	846	easy	endgame master mate mateIn1 oneMove superGM
OB76B	8/1Q3p2/4p1k1/6p1/6K1/6P1/8/8 w - - 2 74	b7e4 f7f5 e4f5 e6f5	847	easy	crushing endgame fork queenEndgame short
Qpjtr	r4rk1/ppp2pp1/2np3p/4p3/3q4/P1BB2Pb/2PQ1P1P/R4RK1 b - - 0 14	d4d5 d3h7 g8h7 d2d5	847	easy	advantage discoveredAttack middlegame short
YrcVh	r7/ppp5/6p1/6k1/8/bPP5/P1qP1P1P/KR3BNR b - - 3 23	c2d2 g1f3 g5h5 f3d2	847	easy	crushing fork middlegame short
mHb2L	r2r3k/1bb4p/p5p1/1Pp5/2B1NP1B/3P3P/1P4P1/n4RK1 b - - 1 28	b7e4 h4f6	847	easy	doubleBishopMate mate mateIn1 middlegame oneMove
qFtQm	3r4/p3pQ1k/6pb/p3Pp2/3rnP2/6P1/PP4K1/7R b - - 3 32	h7h8 h1h6	847	easy	endgame hangingPiece mate mateIn1 oneMove
u9IyV	2R5/1N6/p5kp/r2pn3/6p1/N5P1/PP3rPK/8 w - - 2 36	b7a5 e5f3 h2h1 f2f1	848	easy	endgame mate mateIn2 pin short
7pLX6	3r2k1/p1b2pp1/2B1b1p1/1PP1P3/p7/7P/6P1/B3R1K1 w - - 0 38	e1e3 d8d1 g1f2 d1a1	849	easy	crushing endgame fork short
RE3IP	8/5B2/5kP1/1p2pn2/1P2K3/P7/8/8 w - - 5 51	f7e8 f5d6 e4d5 d6e8	849	easy	crushing endgame fork short
X1OwO	r1bqkbnr/p2p1ppp/1pn5/2pQN3/2P5/4B3/PP3PPP/RN2KB1R b KQkq - 3 7	c8b7 d5f7	849	easy	attackingF2F7 mate mateIn1 oneMove opening
X8Bxc	3k1r2/p2b4/Pp5q/1B3p2/1P2p1n1/2P1N1p1/4QPP1/2RR3K w - - 1 30	h1g1 h6h2 g1f1 h2h1	849	easy	kingsideAttack master mate mateIn2 middlegame short
5ie1z	r1b1kb1r/pp3p2/2n4q/3N4/3PpNn1/4P1p1/PP1B1PB1/R2Q1RK1 w kq - 0 15	f2g3 h6h2	850	easy	master mate mateIn1 middlegame oneMove
9X7Lt	2kr3r/p1ppqppp/1p3n2/2bB4/4P3/3Q4/PPP2PPP/R1B1R1K1 b - - 0 12	h8e8 d3a6 c8b8 a6b7	850	easy	mate mateIn2 middlegame queensideAttack short
Lgg6A	6k1/5pp1/2b1n3/p1pN2bp/2PpP3/B2P1NP1/4K2P/8 b - - 1 33	g5h6 d5e7 g8h7 e7c6	850	easy	crushing endgame fork short
mw4tx	5r1k/1p5p/p2P2p1/2PQ4/P4r2/1PKRRP2/8/6q1 w - - 13 45	d6d7 g1c1	850	easy	endgame epauletteMate mate mateIn1 oneMove
yaTFS	r1b1kb1r/1p1pnppp/pqn1p3/1N6/4P3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 1 8	b6d8 b5d6	850	easy	mate mateIn1 oneMove opening smotheredMate
aWhmi	2k5/p1q4r/1p3p2/2b1P2p/6pP/2Q3B1/P1P2PP1/R5K1 w - - 1 25	e5f6 c5f2 g3f2 c7c3	851	easy	crushing discoveredAttack endgame short
piHeR	r2q1rk1/ppp1bp2/2n1bn1Q/4p3/8/2NB2N1/PPP2PPP/R3K2R b KQ - 0 12	f6g4 h6h7	851	easy	mate mateIn1 middlegame oneMove
4v8JL	6k1/5ppp/2n4q/1pbB1P2/8/3P2Q1/1P3nPP/2N2R1K w - - 1 24	f1f2 h6c1 f2f1 c1f1	852	easy	hangingPiece mate mateIn2 middlegame short
IBaCi	r1bqk2r/1p1nBppp/2n1p3/pN1p4/P7/1P1QPN2/2P2PPP/R3KB1R b KQkq - 0 15	d8e7 b5c7 e8f8 c7a8	852	easy	advantage fork opening short
Yrnjf	rn3rk1/ppp1Npp1/3p3p/8/2BPPRbq/6n1/PPP3P1/R1B1Q1K1 b - - 2 13	g8h8 e7g6 f7g6 f4f8	852	easy	advantage kingsideAttack opening short
kh6JI	r1b2rk1/3p1p1p/p3p1p1/3qP3/1p2N2Q/8/PP2nPPP/R4R1K b - - 3 20	h7h5 e4f6 g8g7 f6d5	852	easy	crushing fork middlegame short
rLuNX	2Q2bk1/7p/2p3p1/1p2B3/1P2Pn2/P5PP/3q1P2/6K1 b - - 0 33	f4d3 c8e6	852	easy	endgame mate mateIn1 oneMove
ww1S9	6b1/6pk/4n1p1/p7/2p2PP1/P7/1b1R4/3K4 b - - 1 40	c4c3 d2h2	852	easy	endgame mate mateIn1 oneMove
BCJvW	3r4/1p2kp2/p1p5/3pPP2/4P3/P1RB4/1P3KP1/3b4 w - - 1 31	f2e3 d5d4 e3d2 d4c3	853	easy	crushing endgame fork master short
b4kLN	5k2/4brnq/pQ1p1p2/4p3/7P/P4PRK/6P1/8 b - - 8 35	g7f5 b6b8 e7d8 b8d8	853	easy	endgame mate mateIn2 short
iPHiH	r2r2k1/pn4p1/2NPp2p/2P2q2/4pP2/6B1/P4PPP/2R2RK1 b - - 0 25	b7c5 c6e7 g8h7 e7f5	853	easy	advantage fork middlegame short
ihmgE	r1bq2k1/pp2N1br/2p3n1/5pPp/3P2nP/1B3Q2/PPP2P2/2KRR3 b - - 1 20	g8f8 e7g6	853	easy	hangingPiece master mate mateIn1 middlegame oneMove
oE4bm	r4nk1/p1q2ppp/2p2n2/1p1p1P2/5PPQ/5B2/PPP1r2P/2KRR3 w - - 0 23	e1e2 c7f4 c1b1 f4f3	854	easy	advantage fork middlegame short
tO7dN	r1bqk2r/ppppbp1p/4P1p1/5n2/2BQ4/3P4/PPP2PPP/RNB2RK1 b kq - 0 10	f5d4 e6f7 e8f8 c1h6	854	easy	advancedPawn attackingF2F7 mate mateIn2 opening short
g0iFK	5r1k/ppp3pp/8/5n2/2P1R3/7P/PB3bPK/R7 w - - 0 27	e4f4 f2g3 h2h1 g3f4	855	easy	advantage endgame fork short
qrarG	1r1q1rk1/5ppp/3p1b2/pp1Np3/4P3/1PP1Q3/1P3PPP/R4RK1 w - - 1 18	a1a5 d8a5 d5f6 g7f6	855	easy	advantage hangingPiece middlegame short
1EzCd	4rn1r/1pBbk3/pNB1pp1p/2p4P/3p4/1P1P4/P1PKPP2/6RR b - - 0 23	d7c6 g1g7	856	easy	epauletteMate mate mateIn1 middlegame oneMove pillsburysMate
GHFJJ	8/8/7p/5p1k/R5pP/6PK/1r6/8 w - - 0 53	a4g4 f5g4	856	easy	endgame mate mateIn1 oneMove rookEndgame
TgDfl	rn3rkR/ppq1ppP1/2p5/5b2/N2P4/5P2/PnPQ4/2K2B2 b - - 1 17	g8g7 d2h6	856	easy	mate mateIn1 middlegame oneMove triangleMate
XdNjO	1rr4k/3R1Qpp/p3p3/8/3B4/8/P1P2PPP/q5K1 w - - 0 23	d4a1 b8b1 d7d1 b1d1	856	easy	backRankMate endgame fork mate mateIn2 short
ieLNI	4k2r/p1r3pp/1p3p2/1b6/3P4/P3P3/1P1bNPPP/3R1K1R w k - 0 19	d1d2 c7c1 d2d1 c1d1	856	easy	endgame mate mateIn2 pin short
tWy0n	2r4k/3n1p1p/1p2rp1q/pPbNpQ2/P3P1P1/1B5P/8/3R1R1K w - - 1 31	d5b6 h6h3	856	easy	kingsideAttack mate mateIn1 middlegame oneMove
0CYwL	r1bq1r1k/1pp3pp/1n3b2/p6R/P7/1B1P3P/1PP2PP1/R1BQ2K1 b - - 4 20	c8d7 h5h7 h8h7 d1h5	857	easy	attraction kingsideAttack mate mateIn2 opening sacrifice short
Cm5Mg	2rq4/1p3nbk/p2pQ1pp/8/4P3/4B1R1/PPP3PP/6K1 b - - 1 25	d8e8 e6g6 h7h8 g6g7	857	easy	mate mateIn2 middlegame short
OHK3H	r4k1r/pQ2bppp/4p3/4N3/3q1P2/8/PP3nPP/R1B2R1K w - - 1 18	f1f2 d4d1 f2f1 d1f1	857	easy	kingsideAttack mate mateIn2 middlegame short
2uzeM	rn1q1r2/ppp1bkpp/3pb3/4P3/4Q3/5N2/PPP2PPP/RNB1K2R w KQ - 1 9	f3g5 e7g5 c1g5 d8g5	858	easy	advantage opening short
Plnwp	8/1pp3p1/p3p1bp/4N2k/8/P1P2NPP/1n2K3/8 b - - 7 36	g6f5 g3g4 f5g4 h3g4	858	easy	endgame fork mate mateIn2 short
zFHmp	2r3k1/2r2pp1/p3p2p/4N3/1pn1Q1P1/3R3P/P1q2P2/3R2K1 b - - 1 32	c4e5 d3d8 c8d8 d1d8	858	easy	master mate mateIn2 middlegame short
207Cd	6k1/3P1pbp/1q4p1/2N5/p1Q3PP/P7/3r4/1K1R4 w - - 4 41	b1c1 b6b2	859	easy	endgame mate mateIn1 oneMove triangleMate
Rwboa	5R2/6k1/8/2Pp2Kp/1p6/1P4Nq/P7/R7 w - - 1 37	f8f3 h3g4	859	easy	endgame mate mateIn1 oneMove
YmaF2	r4qrk/3b1p2/p1n1pPp1/3pP1NQ/3P2P1/2pB3R/7P/R5K1 b - - 0 27	g6h5 h3h5 f8h6 h5h6	859	easy	kingsideAttack mate mateIn2 middlegame short
